"year","biomass","lwr95","upr95","log_est","se","timeseries","metric","metric2","max","index","index_upr95","index_lwr95"
2017,70.0469584301032,2.06552491113561,2375.46221730679,4.24916585185609,1.79788072193448,"Hake","Biomass index","Total biomass (kg)",804212.278116242,8.71000858059251e-05,0.00295377511876713,2.5683827110596e-06
2018,31406.3162657892,10825.4878995485,91114.295313,10.3547643066288,0.543431252626797,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.039052271546207,0.113296324605268,0.0134609831186683
2019,42056.0599757921,14514.5009878024,121858.283806918,10.6467587685919,0.542793275889465,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.0522947250622718,0.151525022836451,0.0180480967311276
2021,39801.5442275003,16769.3007643747,94468.0368700353,10.5916609902058,0.441005976997732,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.0494913411676952,0.117466543897233,0.0208518338014616
2022,14083.9796029157,5094.58590927918,38935.1529226467,9.55279323202877,0.518815433158481,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.017512763714458,0.0484140244834946,0.0063348770566057
2023,63080.3029781176,25768.5273820798,154418.006307117,11.0521638441428,0.456770988575335,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.0784373786556388,0.192011500581439,0.0320419472361689
2024,28699.2409222159,10775.0749148315,76439.9724383981,10.2646259526947,0.499823003290645,"Hake","Biomass index","Total biomass (kg)",804212.278116242,0.0356861511607855,0.0950494969032907,0.0133982969522309
2003,73139.6908877136,46351.8681699186,115408.819414575,11.2001264653848,0.232713250388878,"Lingcod","Biomass index","Total biomass (kg)",233709.237562262,0.312951647314448,0.493813683268849,0.19833134818888
2004,19671.3759322889,10662.8104465139,36290.9040736017,9.88691985973935,0.312456023406457,"Lingcod","Biomass index","Total biomass (kg)",233709.237562262,0.0841702969787332,0.15528228345674,0.0456242575506809
2005,10275.4958508978,5169.04984636248,20426.5422311838,9.23751729619497,0.350553955652739,"Lingcod","Biomass index","Total biomass (kg)",233709.237562262,0.043967007714705,0.0874015184176963,0.0221174391747584
2006,5067.67264107462,2002.62820651933,12823.8011995905,8.53063694603881,0.473693013360624,"Lingcod","Biomass index","Total biomass (kg)",233709.237562262,0.0216836642570645,0.0548707502251559,0.00856888768029896
2007,7879.36661458946,3711.99281199803,16725.3605789417,8.97200280076217,0.384026772541703,"Lingcod","Biomass index","Total biomass (kg)",233709.237562262,0.033714399553806,0.0715648245375236,0.0158829528978679
2008,155696.688781751,111680.480835056,217060.83924732,11.9556650909405,0.169527537293032,"Lingcod","Biomass index","Total biomass (kg)",233709.237562262,0.666198265869881,0.928764483216002,0.477860789757202
2009,110317.873619267,79094.6046595448,153866.793977431,11.6111212376192,0.169758882266436,"Lingcod","Biomass index","Total biomass (kg)",233709.237562262,0.472030437350075,0.658368473503062,0.338431657578248
2010,137310.115887434,98289.0070472244,191822.753036479,11.8299972662994,0.170579561514174,"Lingcod","Biomass index","Total biomass (kg)",233709.237562262,0.587525411146205,0.820775229243456,0.42056107012475
2011,124050.702965663,86730.7054109711,177429.398658258,11.7284456558968,0.182596415883463,"Lingcod","Biomass index","Total biomass (kg)",233709.237562262,0.530790756324362,0.759188641873813,0.371105166041481
2012,171737.691049951,126198.839356151,233709.237562262,12.0537235396849,0.157201616932351,"Lingcod","Biomass index","Total biomass (kg)",233709.237562262,0.734834843677066,1,0.539982247481898
2013,68445.0880529759,43002.8208739697,108940.064474128,11.1337870685066,0.23712990541072,"Lingcod","Biomass index","Total biomass (kg)",233709.237562262,0.29286428198946,0.466135038607986,0.184001374196916
2014,90407.9343181766,62772.8780747287,130209.014440112,11.4120873115352,0.186130425371826,"Lingcod","Biomass index","Total biomass (kg)",233709.237562262,0.386839370412525,0.557141068955066,0.268593910662198
2015,74018.4524319286,50151.876858082,109242.796952967,11.2120696982902,0.198604915082037,"Lingcod","Biomass index","Total biomass (kg)",233709.237562262,0.316711710687985,0.467430376704147,0.214590905268437
