time,index,timeseries,metric
1995-05-15T00:00:00Z,0.518,45N,"m^2 s^(-1)"
1995-06-15T00:00:00Z,0.257,33N,"m^2 s^(-1)"
1995-06-15T00:00:00Z,1.274,39N,"m^2 s^(-1)"
1995-06-15T00:00:00Z,0.346,45N,"m^2 s^(-1)"
1995-07-15T00:00:00Z,0.258,33N,"m^2 s^(-1)"
1995-07-15T00:00:00Z,0.816,39N,"m^2 s^(-1)"
1995-07-15T00:00:00Z,0.463,45N,"m^2 s^(-1)"
1995-08-15T00:00:00Z,0.255,33N,"m^2 s^(-1)"
1995-08-15T00:00:00Z,1.347,39N,"m^2 s^(-1)"
1995-08-15T00:00:00Z,0.36,45N,"m^2 s^(-1)"
1995-09-15T00:00:00Z,0.396,33N,"m^2 s^(-1)"
1995-09-15T00:00:00Z,0.671,39N,"m^2 s^(-1)"
1995-09-15T00:00:00Z,0.236,45N,"m^2 s^(-1)"
1995-10-15T00:00:00Z,0.137,33N,"m^2 s^(-1)"
1995-10-15T00:00:00Z,0.925,39N,"m^2 s^(-1)"
1995-10-15T00:00:00Z,0.207,45N,"m^2 s^(-1)"
1995-11-15T00:00:00Z,0.298,33N,"m^2 s^(-1)"
1995-11-15T00:00:00Z,0.463,39N,"m^2 s^(-1)"
1995-11-15T00:00:00Z,-0.429,45N,"m^2 s^(-1)"
1995-12-15T00:00:00Z,0.478,33N,"m^2 s^(-1)"
1995-12-15T00:00:00Z,-0.119,39N,"m^2 s^(-1)"
1995-12-15T00:00:00Z,-0.639,45N,"m^2 s^(-1)"
1996-01-15T00:00:00Z,0.46,33N,"m^2 s^(-1)"
1996-01-15T00:00:00Z,0.554,39N,"m^2 s^(-1)"
1996-01-15T00:00:00Z,-0.086,45N,"m^2 s^(-1)"
1996-02-15T00:00:00Z,0.291,33N,"m^2 s^(-1)"
1996-02-15T00:00:00Z,-0.106,39N,"m^2 s^(-1)"
1996-02-15T00:00:00Z,-0.509,45N,"m^2 s^(-1)"
1996-03-15T00:00:00Z,0.387,33N,"m^2 s^(-1)"
1996-03-15T00:00:00Z,0.791,39N,"m^2 s^(-1)"
1996-03-15T00:00:00Z,-0.028,45N,"m^2 s^(-1)"
1996-04-15T00:00:00Z,0.446,33N,"m^2 s^(-1)"
1996-04-15T00:00:00Z,0.581,39N,"m^2 s^(-1)"
1996-04-15T00:00:00Z,-0.48,45N,"m^2 s^(-1)"
1996-05-15T00:00:00Z,0.388,33N,"m^2 s^(-1)"
1996-05-15T00:00:00Z,1.841,39N,"m^2 s^(-1)"
1996-05-15T00:00:00Z,0.429,45N,"m^2 s^(-1)"
1996-06-15T00:00:00Z,0.347,33N,"m^2 s^(-1)"
1996-06-15T00:00:00Z,2.06,39N,"m^2 s^(-1)"
1996-06-15T00:00:00Z,0.551,45N,"m^2 s^(-1)"
1996-07-15T00:00:00Z,0.195,33N,"m^2 s^(-1)"
1996-07-15T00:00:00Z,1.149,39N,"m^2 s^(-1)"
1996-07-15T00:00:00Z,0.623,45N,"m^2 s^(-1)"
1996-08-15T00:00:00Z,0.231,33N,"m^2 s^(-1)"
1996-08-15T00:00:00Z,1.315,39N,"m^2 s^(-1)"
1996-08-15T00:00:00Z,0.395,45N,"m^2 s^(-1)"
1996-09-15T00:00:00Z,0.229,33N,"m^2 s^(-1)"
1996-09-15T00:00:00Z,0.693,39N,"m^2 s^(-1)"
1996-09-15T00:00:00Z,0.267,45N,"m^2 s^(-1)"
1996-10-15T00:00:00Z,0.399,33N,"m^2 s^(-1)"
1996-10-15T00:00:00Z,0.814,39N,"m^2 s^(-1)"
1996-10-15T00:00:00Z,0.134,45N,"m^2 s^(-1)"
1996-11-15T00:00:00Z,0.352,33N,"m^2 s^(-1)"
1996-11-15T00:00:00Z,0.654,39N,"m^2 s^(-1)"
1996-11-15T00:00:00Z,0.097,45N,"m^2 s^(-1)"
1996-12-15T00:00:00Z,0.139,33N,"m^2 s^(-1)"
1996-12-15T00:00:00Z,-0.353,39N,"m^2 s^(-1)"
1996-12-15T00:00:00Z,-0.591,45N,"m^2 s^(-1)"
1997-01-15T00:00:00Z,0.299,33N,"m^2 s^(-1)"
1997-01-15T00:00:00Z,0.197,39N,"m^2 s^(-1)"
1997-01-15T00:00:00Z,-0.194,45N,"m^2 s^(-1)"
1997-02-15T00:00:00Z,0.637,33N,"m^2 s^(-1)"
1997-02-15T00:00:00Z,1.277,39N,"m^2 s^(-1)"
1997-02-15T00:00:00Z,0.185,45N,"m^2 s^(-1)"
1997-03-15T00:00:00Z,0.245,33N,"m^2 s^(-1)"
